Kode URL;Unit Kerja;Ruang;No;Nibar;Nomor Register;Kode Barang;Nama Barang;Spesifikasi Nama Barang;Merk/Type;Tahun Perolehan;Jumlah;Satuan;Ket.
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;8;20230341078;1;01.03.02.05.01.05.045;LCD Projector/Infocus;LCD Proyektor - plastik;InFocus;2023;1;Unit;Pengadaan LCD Proyektor
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;6;93518;1;01.03.02.05.01.05.005;White Board;;White Board (33);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;5;93519;2;01.03.02.05.01.05.005;White Board;;papan data 35;2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;7;93522;1;01.03.02.05.01.05.027;Panel Pameran;;tempat foto(253);1995;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;9;93587;2;01.03.02.05.02.01.003;Kursi Besi/Metal;;kursi besi tumpuk(79);1994;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;10;93588;3;01.03.02.05.02.01.003;Kursi Besi/Metal;;kursi besi tumpuk(79);1994;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;12;93605;20;01.03.02.05.02.01.003;Kursi Besi/Metal;;kursi besi tumpuk(79);1994;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;11;93606;21;01.03.02.05.02.01.003;Kursi Besi/Metal;;kursi besi tumpuk(79);1994;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;75;93769;130;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;73;93770;131;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;72;93771;132;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;70;93772;133;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;77;93773;134;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;76;93774;135;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;74;93775;136;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;71;93777;138;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;69;93778;139;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;78;93779;140;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;20;93780;141;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;88;93843;204;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;13;93844;205;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;87;93845;206;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;86;93846;207;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;14;93847;208;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
Aula_AB;BALAI PSTW UNIT ABIYOSO;Aula AB;85;93848;209;01.03.02.05.02.01.003;Kursi Besi/Metal;;Chitos (82);2000;1;Buah;PSTW Abiyoso
